GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
GIMBAL X: -0.00 || TORQUE: 0.00 || QUAT: (array([0., 0., 0., 1.]), 3)
